synset_name	synset_definition	frame_0	frame_1	frame_2	frame_3	frame_4
abnormality.n.04	abnormality, irregularity, behavior that breaches the rule or etiquette or custom or morality	VIOLATE	BEHAVE	DIVERSIFY	MESS	MISTAKE
abort.n.01	abort, the act of terminating a project or procedure before it is completed	FINISH_CONCLUDE_END	KILL	STOP	SWITCH-OFF_TURN-OFF_SHUT-DOWN	CANCEL_ELIMINATE
aborticide.n.02	aborticide, feticide, the act of destroying a fetus	DESTROY	KILL	GIVE-BIRTH	CASTRATE	CANCEL_ELIMINATE
abscission.n.01	abscission, shedding of flowers and leaves and fruit following formation of scar tissue in a plant	DISCARD	LOSE	CANCEL_ELIMINATE	DISAPPEAR	DISMISS_FIRE-SMN
absence.n.04	absence, absence seizure, the occurrence of an abrupt transient loss or impairment of consciousness which is not subsequently remembered sometimes with light twitching fluttering eyelids etc common in petit mal epilepsy	DISAPPEAR	MISS_OMIT_LACK	ABSTAIN_AVOID_REFRAIN	LEAVE-BEHIND	LEAVE_DEPART_RUN-AWAY
absence_without_leave.n.01	absence without leave, unauthorized absence, unauthorized military absence	LEAVE_DEPART_RUN-AWAY	MISS_OMIT_LACK	DISAPPEAR	ABSTAIN_AVOID_REFRAIN	LEAVE-BEHIND
absenteeism.n.01	absenteeism, habitual absence from work	MISS_OMIT_LACK	DISAPPEAR	ABSTAIN_AVOID_REFRAIN	LEAVE_DEPART_RUN-AWAY	LEAVE-BEHIND
absolute_threshold.n.01	absolute threshold, the lowest level of stimulation that a person can detect	REDUCE_DIMINISH	WEAKEN	WORSEN	DEBASE_ADULTERATE	SLOW-DOWN
absorption_band.n.01	absorption band, a dark band in the spectrum of white light that has been transmitted through a substance that exhibits absorption at selective wavelengths	LIGHT_SHINE	DIM	LIGHTEN	REFLECT	EMIT
abstinence.n.02	abstinence, act or practice of refraining from indulging an appetite	ABSTAIN_AVOID_REFRAIN	DIET	PRECLUDE_FORBID_EXPEL	RESTRAIN	WEAKEN
abstraction.n.02	abstraction, the act of withdrawing or removing something	REMOVE_TAKE-AWAY_KIDNAP	DRIVE-BACK	DISMISS_FIRE-SMN	UNFASTEN_UNFOLD	EMPTY_UNLOAD
academic_requirement.n.01	academic requirement, a requirement for admission to or completion of an academic program	ASK_REQUEST	REQUIRE_NEED_WANT_HOPE	OBLIGE_FORCE	PROPOSE	IMPLY
academicianship.n.01	academicianship, the position of member of an honorary academy	LEAD_GOVERN	WORK	MANAGE	ASSIGN-smt-to-smn	HIRE
acceptance.n.04	acceptance, contract law words signifying consent to the terms of an offer thereby creating a contract	AGREE_ACCEPT	AUTHORIZE_ADMIT	PARDON	GUARANTEE_ENSURE_PROMISE	LEND
acceptance_sampling.n.01	acceptance sampling, a statistical procedure for accepting or rejecting a batch of merchandise or documents involves determining the maximum number of defects discovered in a sample before the entire batch is rejected	AGREE_ACCEPT	AUTHORIZE_ADMIT	REFUSE	VERIFY	CALCULATE_ESTIMATE
accession.n.01	accession, a process of increasing by addition as to a collection or group	INCREASE_ENLARGE_MULTIPLY	COMBINE_MIX_UNITE	PROMOTE	AMELIORATE	ADD
accident.n.01	accident, an unfortunate mishap especially one causing damage or injury	HURT_HARM_ACHE	BREAK_DETERIORATE	CONTRACT-AN-ILLNESS_INFECT	MISTAKE	DESTROY
accident.n.02	accident, stroke, fortuity, chance event, anything that happens suddenly or by chance without an apparent cause	HAPPEN_OCCUR	RISK	RESULT_CONSEQUENCE	MISTAKE	DERIVE
accommodation.n.06	accommodation, physiology the automatic adjustment in focal length of the natural lens of the eye	ADJUST_CORRECT	COMPENSATE	HARMONIZE	FIT	CHANGE_SWITCH
accommodation_reflex.n.01	accommodation reflex, reflex changes in the eyes that enable an object to be focused on the retina	FOCUS	SEE	PERCEIVE	CAUSE-MENTAL-STATE	REACT
accord.n.02	accord, conformity, accordance, concurrence of opinion	MATCH	HARMONIZE	DIVERSIFY	CHANGE_SWITCH	DISTINGUISH_DIFFER
accountantship.n.01	accountantship, the position of accountant	WORK	MANAGE	LEAD_GOVERN	ASSIGN-smt-to-smn	HIRE
accretion.n.03	accretion, astronomy the formation of a celestial object by the effect of gravity pulling together surrounding objects and gases	COMBINE_MIX_UNITE	CHANGE-APPEARANCE/STATE	AMASS	PRESS_PUSH_FOLD	CONVERT
accretion.n.05	accretion, geology an increase in land resulting from alluvial deposits or waterborne sediment	INCREASE_ENLARGE_MULTIPLY	PROMOTE	AMELIORATE	DEVELOP_AGE	STRENGTHEN_MAKE-RESISTANT
acheson_process.n.01	Acheson process, an industrial process for making graphite by heating a mixture of coke and clay	CONVERT	COMBINE_MIX_UNITE	HEAT	CHANGE-APPEARANCE/STATE	TREAT-WITH/BY
acid-base_equilibrium.n.01	acid-base equilibrium, acid-base balance, physiology the normal equilibrium between acids and alkalis in the body	COMPENSATE	HARMONIZE	CONVERT	CHANGE-APPEARANCE/STATE	COMBINE_MIX_UNITE
acid_test.n.01	acid test, a rigorous or crucial appraisal	ANALYZE	VERIFY	MEASURE_EVALUATE	SEARCH	TRY
acidimetry.n.01	acidimetry, volumetric analysis using standard solutions of acids to measure the amount of a base present	ANALYZE	MEASURE_EVALUATE	VERIFY	SEARCH	CALCULATE_ESTIMATE
acidity.n.02	acidity, acidulousness, the taste experience when something acidic is taken into the mouth	TASTE	CHANGE-TASTE	UNDERGO-EXPERIENCE	HURT_HARM_ACHE	TREAT-WITH/BY
acoustic_phenomenon.n.01	acoustic phenomenon, a physical phenomenon associated with the production or transmission of sound	MAKE-A-SOUND	HEAR_LISTEN	CRY	SHOUT	PRONOUNCE
acoustic_radiation_pressure.n.01	acoustic radiation pressure, acoustics the pressure exerted on a surface normal to the direction of propagation of a sound wave	REFLECT	LIGHT_SHINE	MAKE-A-SOUND	EMIT	SHOW
acoustic_resistance.n.01	acoustic resistance, acoustic impedance, acoustic reactance, opposition to the flow of sound through a surface acoustic resistance is the real component of acoustic impedance and acoustic reactance is the imaginary component	RESTRAIN	RESIST	WEAKEN	STOP	DEBASE_ADULTERATE
acridity.n.01	acridity, having an acrid smell	SMELL	ODORIZE	HURT_HARM_ACHE	UNDERGO-EXPERIENCE	EXCRETE
acrobatic_stunt.n.01	acrobatic stunt, acrobatic feat, a stunt performed by an acrobat	DANCE	SING	PERFORM	JOKE	MAKE-A-SOUND
acrophony.n.01	acrophony, naming a letter of the alphabet by using a word whose initial sound is the sound represented by that letter	NAME	PRONOUNCE	WRITE	ASCRIBE	ASSIGN-smt-to-smn
act_of_god.n.01	act of God, force majeure, vis major, inevitable accident, unavoidable casualty, a natural and unavoidable catastrophe that interrupts the expected course of events	AFFECT	HURT_HARM_ACHE	OBLIGE_FORCE	HAPPEN_OCCUR	RISK
actinic_radiation.n.01	actinic radiation, actinic ray, electromagnetic radiation that can produce photochemical reactions	LIGHT_SHINE	REFLECT	DIM	LIGHTEN	EMIT
actinometry.n.01	actinometry, measuring the intensity of electromagnetic radiation especially of the suns rays	ANALYZE	MEASURE_EVALUATE	CALCULATE_ESTIMATE	RECORD	VERIFY
action.n.09	action, an act by a government body or supranational organization	CARRY-OUT-ACTION	LEAD_GOVERN	VIOLATE	HAPPEN_OCCUR	BEHAVE
action.n.10	action, the most important or interesting work or activity in a specific area or field	CARRY-OUT-ACTION	WORK	BEGIN	BEHAVE	MANAGE
action_potential.n.01	action potential, the local voltage change across the cell wall as a nerve impulse is transmitted	CONVERT	CHANGE-APPEARANCE/STATE	MOVE-SOMETHING	SHOOT_LAUNCH_PROPEL	DIRECT_AIM_MANEUVER
activation_energy.n.01	activation energy, energy of activation, the energy that an atomic system must acquire before a process such as an emission or reaction can occur	CONVERT	BEGIN	OPEN	CHANGE-APPEARANCE/STATE	EXPLODE
active_air_defense.n.01	active air defense, air defense by the use aircraft or missiles or artillery or electronic countermeasures	ATTACK_BOMB	PROTECT	FIGHT	ARGUE-IN-DEFENSE	MANAGE
active_birth.n.01	active birth, childbirth during which the mother is encouraged to be an active participant	GIVE-BIRTH	DEVELOP_AGE	HAVE-SEX	CASTRATE	GROW_PLOW
active_transport.n.01	active transport, transport of a substance as a protein or drug across a cell membrane against the concentration gradient requires an expenditure of energy	CARRY_TRANSPORT	FLOW	TRANSMIT	SEND	GO-FORWARD
activity.n.01	activity, any specific behavior	BEHAVE	CARRY-OUT-ACTION	VIOLATE	HAPPEN_OCCUR	OPERATE
actual_eviction.n.01	actual eviction, the physical ouster of a tenant from the leased premises the tenant is relieved of any further duty to pay rent	REMOVE_TAKE-AWAY_KIDNAP	DISMISS_FIRE-SMN	DRIVE-BACK	LEAVE_DEPART_RUN-AWAY	CANCEL_ELIMINATE
actual_possession.n.01	actual possession, law immediate and direct physical control over property	POSSESS	OBTAIN	MANAGE	TAKE	BUY
actual_sin.n.01	actual sin, a sin committed of your own free will as contrasted with original sin	VIOLATE	HURT_HARM_ACHE	CAUSE-SMT	COMPARE	AFFECT
acupressure.n.01	acupressure, G-Jo, shiatsu, treatment of symptoms by applying pressure with the fingers to specific pressure points on the body	HELP_HEAL_CARE_CURE	MAKE-RELAX	HURT_HARM_ACHE	SLEEP	REPAIR_REMEDY
acupuncture.n.01	acupuncture, stylostixis, treatment of pain or disease by inserting the tips of needles at specific points on the skin	HELP_HEAL_CARE_CURE	REPAIR_REMEDY	MAKE-RELAX	TREAT-WITH/BY	HURT_HARM_ACHE
acylation.n.01	acylation, the process of introducing an acyl group into a compound	COMBINE_MIX_UNITE	TREAT-WITH/BY	CONVERT	ADD	CHANGE-APPEARANCE/STATE
adagio.n.02	adagio, a slow section of a pas de deux requiring great skill and strength by the dancers	PERFORM	DANCE	SING	REPEAT	PLAY_SPORT/GAME
adaptation.n.03	adaptation, physiology the responsive adjustment of a sense organ as the eye to varying conditions as of light	ADJUST_CORRECT	HARMONIZE	COMPENSATE	CHANGE_SWITCH	PREPARE
adaptive_radiation.n.01	adaptive radiation, the development of many different forms from an originally homogeneous group of organisms as they fill different ecological niches	CONVERT	CHANGE-APPEARANCE/STATE	AMELIORATE	DEVELOP_AGE	CHANGE_SWITCH
addition_reaction.n.01	addition reaction, a chemical reaction in which one molecule is added to another	TREAT-WITH/BY	COMBINE_MIX_UNITE	ADD	CONVERT	UNDERGO-EXPERIENCE
adenoidectomy.n.01	adenoidectomy, surgical removal of the adenoids commonly performed along with tonsillectomy	REMOVE_TAKE-AWAY_KIDNAP	CANCEL_ELIMINATE	CASTRATE	EMPTY_UNLOAD	EXTRACT
adiabatic_process.n.01	adiabatic process, thermodynamics any process that occurs without gain or loss of heat	CONVERT	HEAT	CHANGE-APPEARANCE/STATE	CHANGE_SWITCH	BURN
adjudication.n.01	adjudication, the final judgment in a legal proceeding the act of pronouncing judgment based on the evidence presented	SUBJECTIVE-JUDGING	DECREE_DECLARE	CALCULATE_ESTIMATE	DECIDE_DETERMINE	INFER
administration.n.06	administration, judicature, the act of meting out justice according to the law	LEAD_GOVERN	MANAGE	PUNISH	ASSIGN-smt-to-smn	SORT_CLASSIFY_ARRANGE
administrative_data_processing.n.01	administrative data processing, business data processing, data processing in accounting or business management	MANAGE	RECORD	WORK	LEAD_GOVERN	AUTOMATIZE
administrative_hearing.n.01	administrative hearing, a hearing that takes place outside the judicial process before hearing examiners who have been granted judicial authority specifically for the purpose of conducting such hearings	VERIFY	DISCUSS	HEAR_LISTEN	ANALYZE	SUBJECTIVE-JUDGING
administrivia.n.01	administrivia, the tiresome but essential details that must be taken care of and tasks that must be performed in running an organization	LEAD_GOVERN	MANAGE	WORK	ASSIGN-smt-to-smn	SUBJUGATE
admiralty.n.02	admiralty, the office of admiral	LEAD_GOVERN	MANAGE	ASSIGN-smt-to-smn	WORK	WATCH_LOOK-OUT
admiration.n.03	admiration, appreciation, a favorable judgment	LIKE	ENJOY	DISLIKE	FEEL	CAUSE-MENTAL-STATE
adoration.n.03	adoration, latria, the worship given to god alone	APPROVE_PRAISE	COMMUNE	LIKE	SING	CELEBRATE_PARTY
adoxography.n.01	adoxography, fine writing in praise of trivial or base subjects	WRITE	PAINT	APPROVE_PRAISE	CREATE_MATERIALIZE	EXPLAIN
adrenalectomy.n.01	adrenalectomy, suprarenalectomy, surgical removal of one or both adrenal glands	REMOVE_TAKE-AWAY_KIDNAP	HELP_HEAL_CARE_CURE	CASTRATE	EXTRACT	UNFASTEN_UNFOLD
adrenarche.n.01	adrenarche, the increase in activity of the adrenal glands just before puberty	INCREASE_ENLARGE_MULTIPLY	AROUSE_WAKE_ENLIVEN	PROMOTE	DEVELOP_AGE	AMELIORATE
adrenergic_agonist_eyedrop.n.01	adrenergic agonist eyedrop, a treatment for glaucoma the eyedrops reduce intraocular pressure by decreasing the production of aqueous humor and increasing its drainage through the uveoscleral pathway	HELP_HEAL_CARE_CURE	MAKE-RELAX	HURT_HARM_ACHE	REPAIR_REMEDY	WEAKEN
adult_education.n.01	adult education, a course via lectures or correspondence for adults who are not otherwise engaged in formal study	TEACH	LEARN	STUDY	KNOW	DEVELOP_AGE
adulteration.n.02	adulteration, the act of adulterating especially the illicit substitution of one substance for another	REPLACE	CONVERT	COMBINE_MIX_UNITE	TREAT-WITH/BY	CHANGE-APPEARANCE/STATE
adultery.n.01	adultery, criminal conversation, fornication, extramarital sex that willfully and maliciously interferes with marriage relations	HAVE-SEX	COURT	ALLY_ASSOCIATE_MARRY	BEFRIEND	CORRELATE
adversity.n.02	adversity, a stroke of ill fortune a calamitous event	VIOLATE	HAPPEN_OCCUR	CONTRACT-AN-ILLNESS_INFECT	RISK	HURT_HARM_ACHE
advertising_campaign.n.01	advertising campaign, ad campaign, ad blitz, an organized program of advertisements	PUBLICIZE	SELL	OFFER	LURE_ENTICE	DECEIVE
advisory_service.n.01	advisory service, a consulting service in which a cpa develops findings and conclusions and recommendations that are presented to the client for consideration and decision making	WARN	WORK	TEACH	VERIFY	DECIDE_DETERMINE
aerobics.n.01	aerobics, aerobic exercise, exercise that increases the need for oxygen	INCREASE_ENLARGE_MULTIPLY	AROUSE_WAKE_ENLIVEN	AMELIORATE	PREPARE	PROMOTE
aerobiosis.n.01	aerobiosis, life sustained in the presence of air or oxygen	BREATH_BLOW	AIR	PRESERVE	NOURISH_FEED	EXCRETE
aerodynamic_force.n.01	aerodynamic force, forces acting on airfoils in motion relative to the air or other gaseous fluids	PULL	DIRECT_AIM_MANEUVER	MOVE-SOMETHING	TRAVEL	MOVE-ONESELF
aerodynamic_lift.n.01	aerodynamic lift, lift, the component of the aerodynamic forces acting on an airfoil that opposes gravity	RAISE	GO-FORWARD	FLY	PULL	MOVE-ONESELF
aeronautical_engineering.n.02	aeronautical engineering, the activity of designing and constructing aircraft	MOUNT_ASSEMBLE_PRODUCE	CREATE_MATERIALIZE	ESTABLISH	PAINT	SEW
aerophagia.n.01	aerophagia, swallowing air usually followed by belching and discomfort and flatulence	DRINK	EXCRETE	EAT_BITE	BREATH_BLOW	NOURISH_FEED
aerophilately.n.01	aerophilately, the collection and study of airmail stamps	PRINT	PAINT	SEND	SEW	CAVE_CARVE
affair.n.03	affair, occasion, social occasion, function, social function, a vaguely specified social event	HAPPEN_OCCUR	PLAN_SCHEDULE	BEGIN	RESULT_CONSEQUENCE	CAUSE-SMT
affairs.n.02	affairs, transactions of professional or public interest	WORK	MANAGE	LEAD_GOVERN	NEGOTIATE	CARRY-OUT-ACTION
affinity.n.01	affinity, immunology the attraction between an antigen and an antibody	JOIN_CONNECT	COMBINE_MIX_UNITE	ATTACH	CORRELATE	SECURE_FASTEN_TIE
affinity.n.05	affinity, chemical attraction, the force attracting atoms to each other and binding them together in a molecule	SECURE_FASTEN_TIE	ATTACH	JOIN_CONNECT	ATTRACT_SUCK	COMBINE_MIX_UNITE
affirmative_action.n.01	affirmative action, a policy designed to redress past discrimination against women and minority groups through measures to improve their economic and educational opportunities	AUTHORIZE_ADMIT	AGREE_ACCEPT	LIBERATE_ALLOW_AFFORD	CO-OPT	PROMOTE
affray.n.01	affray, altercation, fracas, noisy quarrel	QUARREL_POLEMICIZE	FACE_CHALLENGE	VIOLATE	FIGHT	CRITICIZE
affray.n.02	affray, disturbance, fray, ruffle, a noisy fight	MESS	FACE_CHALLENGE	ATTACK_BOMB	VIOLATE	FIGHT
affusion.n.01	affusion, the act of baptizing someone by pouring water on their head	WET	KILL	COMMUNE	SPILL_POUR	DIP_DIVE
aftercare.n.01	aftercare, care and treatment of a convalescent patient	HELP_HEAL_CARE_CURE	REPAIR_REMEDY	MAKE-RELAX	TAKE-SHELTER	RESTORE-TO-PREVIOUS/INITIAL-STATE_UNDO_UNWIND
aftereffect.n.01	aftereffect, any result that follows its cause after an interval	HAPPEN_OCCUR	COME-AFTER_FOLLOW-IN-TIME	BEGIN	RESULT_CONSEQUENCE	UNDERGO-EXPERIENCE
afterglow.n.01	afterglow, a glow sometimes seen in the sky after sunset	LIGHT_SHINE	LIGHTEN	REFLECT	DIM	EMIT
aftermath.n.01	aftermath, wake, backwash, the consequences of an event especially a catastrophic event	HAPPEN_OCCUR	RESULT_CONSEQUENCE	RESTORE-TO-PREVIOUS/INITIAL-STATE_UNDO_UNWIND	UNDERGO-EXPERIENCE	CANCEL_ELIMINATE
aftershock.n.01	aftershock, a tremor or one of a series of tremors occurring after the main shock of an earthquake	MOVE-ONESELF	GO-FORWARD	MOVE-SOMETHING	HIT	RUN
agape.n.03	agape, love feast, a religious meal shared as a sign of love and fellowship	EAT_BITE	NOURISH_FEED	COOK	LIKE	ENJOY
age-related_macular_degeneration.n.01	age-related macular degeneration, AMD, macular degeneration that is agerelated	WORSEN	SPOIL	HURT_HARM_ACHE	CHANGE-APPEARANCE/STATE	DEBASE_ADULTERATE
ageism.n.01	ageism, agism, discrimination against middleaged and elderly people	DOWNPLAY_HUMILIATE	REFUSE	PRECLUDE_FORBID_EXPEL	WEAKEN	TREAT
agenesis.n.01	agenesis, agenesia, imperfect development nondevelopment of a part	WORSEN	DEVELOP_AGE	CHANGE-APPEARANCE/STATE	REDUCE_DIMINISH	WEAKEN
agglomeration.n.02	agglomeration, the act of collecting in a mass the act of agglomerating	GROUP	AMASS	COMBINE_MIX_UNITE	OVERLAP	JOIN_CONNECT
agglutination.n.03	agglutination, agglutinating activity, the coalescing of small particles that are suspended in solution these larger masses are then usually precipitated	AMASS	COMBINE_MIX_UNITE	GROUP	OVERLAP	JOIN_CONNECT
agglutination_test.n.01	agglutination test, a blood test used to identify unknown antigens blood with the unknown antigen is mixed with a known antibody and whether or not agglutination occurs helps to identify the antigen used in tissue matching and blood grouping and diagnosis of infections	ANALYZE	VERIFY	COMBINE_MIX_UNITE	AMASS	GROUP
aggravated_assault.n.01	aggravated assault, a reckless attack with intent to injure seriously as with a deadly weapon	ATTACK_BOMB	HURT_HARM_ACHE	AFFECT	CONTRACT-AN-ILLNESS_INFECT	SHOOT_LAUNCH_PROPEL
aggression.n.05	aggression, deliberately unfriendly behavior	BEHAVE	ATTACK_BOMB	VIOLATE	TREAT	FIGHT
aggro.n.01	aggro, informal british usage aggravation or aggression	AMASS	BURDEN_BEAR	AROUSE_WAKE_ENLIVEN	WORSEN	HURT_HARM_ACHE
aging.n.02	aging, ageing, senescence, the organic process of growing older and showing the effects of increasing age	DEVELOP_AGE	CHANGE-APPEARANCE/STATE	CHANGE_SWITCH	WORSEN	REDUCE_DIMINISH
agitation.n.04	agitation, excitement, turmoil, upheaval, hullabaloo, disturbance usually in protest	OPPOSE_REBEL_DISSENT	RESIST	CAUSE-MENTAL-STATE	AROUSE_WAKE_ENLIVEN	FACE_CHALLENGE
agitation.n.05	agitation, the act of agitating something causing it to move around usually vigorously	MOVE-ONESELF	PULL	GO-FORWARD	TRAVEL	MOVE-SOMETHING
agnus_dei.n.01	Agnus Dei, Paschal Lamb, figure of a lamb emblematic of christ	PAINT	REPRESENT	IMAGINE	EMBELLISH	CREATE_MATERIALIZE
agon.n.01	agon, a festivity in ancient greece at which competitors contended for prizes	CELEBRATE_PARTY	ENJOY	COMMUNE	HAPPEN_OCCUR	UNDERGO-EXPERIENCE
agribusiness.n.01	agribusiness, agriculture, factory farm, a largescale farming enterprise	WORK	MANAGE	SELL	BUY	HIRE
agrypnia.n.01	agrypnia, a vigil before certain feasts as eg easter	CELEBRATE_PARTY	COMMUNE	WELCOME	REMEMBER	SLEEP
aikido.n.01	aikido, a japanese martial art employing principles similar to judo	DANCE	PERFORM	PLAY_SPORT/GAME	TEACH	STUDY
air_cover.n.01	air cover, the use of military aircraft to provide protection against attack by enemy aircraft during ground or naval operations	PROTECT	TAKE-SHELTER	COVER_SPREAD_SURMOUNT	ENCLOSE_WRAP	STABILIZE_SUPPORT-PHYSICALLY
air_defense.n.01	air defense, defensive measures designed to destroy attacking enemy aircraft or missiles or to nullify their effectiveness	ATTACK_BOMB	DESTROY	CANCEL_ELIMINATE	KILL	ARGUE-IN-DEFENSE
air_embolism.n.01	air embolism, aeroembolism, gas embolism, obstruction of the circulatory system caused by an air bubble as eg accidentally during surgery or hypodermic injection or as a complication from scuba diving	HURT_HARM_ACHE	CONTRACT-AN-ILLNESS_INFECT	BREATH_BLOW	AIR	EXCRETE
air_mass.n.01	air mass, a large body of air with uniform characteristics horizontally	AIR	FLOW	SPILL_POUR	BREATH_BLOW	EMIT
air_pocket.n.01	air pocket, pocket, air hole, a local region of low pressure or descending air that causes a plane to lose height suddenly	HOLE_PIERCE	INSERT	ENCLOSE_WRAP	PRESS_PUSH_FOLD	PUT_APPLY_PLACE_PAVE
air_raid.n.01	air raid, air attack, an attack by armed planes on a surface target	ATTACK_BOMB	VIOLATE	FIGHT	BREAK_DETERIORATE	SHOOT_LAUNCH_PROPEL
air_reconnaissance.n.01	air reconnaissance, reconnaissance either by visual observation from the air or through the use of airborne sensors	SEARCH	ANALYZE	SEE	WATCH_LOOK-OUT	FIND
air_transportation.n.01	air transportation, air transport, transportation by air	CARRY_TRANSPORT	SEND	CATCH_EMBARK	TRAVEL	GO-FORWARD
air_travel.n.01	air travel, aviation, air, travel via aircraft	GO-FORWARD	TRAVEL	MOVE-BY-MEANS-OF	CARRY_TRANSPORT	CATCH_EMBARK
air_wave.n.01	air wave, a sound wave that is transmitted via air	TRANSMIT	AIR	FLOW	BREATH_BLOW	SEND
airborne_patrol.n.01	airborne patrol, a patrol provided by aircraft	WATCH_LOOK-OUT	SEARCH	ANALYZE	GO-FORWARD	CHASE
airburst.n.01	airburst, an explosion in the atmosphere	EXPLODE	ATTACK_BOMB	SHOOT_LAUNCH_PROPEL	BURN	DESTROY
aircraft_landing.n.01	aircraft landing, airplane landing, landing an aircraft	LAND_GET-OFF	CATCH_EMBARK	ARRIVE	LEAVE_DEPART_RUN-AWAY	MOVE-BACK
airdrop.n.01	airdrop, delivery of supplies or equipment or personnel by dropping them by parachute from an aircraft	CARRY_TRANSPORT	DROP	SEND	TRANSMIT	CIRCULATE_SPREAD_DISTRIBUTE
airflow.n.01	airflow, air flow, flow of air, the flow of air	FLOW	AIR	SPILL_POUR	BREATH_BLOW	EMIT
airing.n.02	airing, a short excursion a walk or ride in the open air	AIR	TRAVEL	MOVE-SOMETHING	DIP_DIVE	WET
airplane_mechanics.n.01	airplane mechanics, the craft of building and repairing airplanes	REPAIR_REMEDY	MOUNT_ASSEMBLE_PRODUCE	WORK	RENEW	STABILIZE_SUPPORT-PHYSICALLY
airstream.n.01	airstream, a relatively welldefined prevailing wind	AIR	FLOW	CARRY_TRANSPORT	MOVE-ONESELF	MOVE-SOMETHING
alarmism.n.01	alarmism, needless warnings	WARN	HURT_HARM_ACHE	CAUSE-MENTAL-STATE	INFORM	ENDANGER
alcohol_abuse.n.01	alcohol abuse, alcoholic abuse, alcoholism abuse, excessive use of alcohol and alcoholic drinks	DRINK	HURT_HARM_ACHE	USE	CAUSE-MENTAL-STATE	SLEEP
aldol_reaction.n.01	aldol reaction, a reaction of aldehydes resulting in an aldol	TREAT-WITH/BY	COMBINE_MIX_UNITE	CONVERT	CHANGE-APPEARANCE/STATE	UNDERGO-EXPERIENCE
algometry.n.01	algometry, measuring sensitivity to pain or pressure	MEASURE_EVALUATE	ANALYZE	CALCULATE_ESTIMATE	HURT_HARM_ACHE	CAUSE-MENTAL-STATE
algorithm.n.01	algorithm, algorithmic rule, algorithmic program, a precise rule or set of rules specifying how to solve some problem	PLAN_SCHEDULE	DECIDE_DETERMINE	ADJUST_CORRECT	ESTABLISH	AUTOMATIZE
algorithm_error.n.01	algorithm error, error resulting from the choice of the wrong algorithm or method for achieving the intended result	MISTAKE	FAIL_LOSE	MESS	WORSEN	MISS_OMIT_LACK
alienation.n.03	alienation, law the voluntary and absolute transfer of title and possession of real property from one person to another	GIVE_GIFT	CHANGE-HANDS	REPLACE	LEND	OBTAIN
alienation.n.04	alienation, the action of alienating the action of causing to become unfriendly	CAUSE-MENTAL-STATE	WORSEN	DISLIKE	WEAKEN	DOWNPLAY_HUMILIATE
alienation_of_affection.n.01	alienation of affection, a tort based on willful and malicious interference with the marriage relation by a third party without justification or excuse	CAUSE-MENTAL-STATE	DISBAND_BREAK-UP	WEAKEN	DEBASE_ADULTERATE	REFUSE
aliyah.n.02	aliyah, judaism immigration of jews to israel	LEAVE_DEPART_RUN-AWAY	GO-FORWARD	MOVE-BACK	CARRY_TRANSPORT	TRAVEL
alkalimetry.n.01	alkalimetry, volumetric analysis using standard solutions of alkali to measure the amount of acid present	ANALYZE	VERIFY	CONVERT	MEASURE_EVALUATE	COMBINE_MIX_UNITE
